instance,n,config,best_cost,mean_cost,std_cost,mean_time_s,std_time_s,mean_init_cost,improvement_pct
kroC100,100,sa_opt__2-opt__exp_medium,37229.0,38464.6,1379.56,0.031,0.0082,,
kroD100,100,gls_naive_first__2-opt,23013.0,23543.6,561.78,12.2605,0.8036,,
kroD100,100,sa_naive_exp__medium__swap,54109.0,58060.0,3696.65,0.0658,0.0118,,
kroD100,100,gls_opt__2-opt,23239.0,23510.0,281.49,0.4498,0.0251,,
kroD100,100,sa_opt__2-opt__exp_medium,36949.0,39539.0,2239.4,0.0252,0.0069,,
kroE100,100,gls_naive_first__2-opt,24354.0,25284.2,622.1,8.979,1.7084,,
kroE100,100,sa_naive_exp__medium__swap,58150.0,61065.4,2404.13,0.0653,0.0138,,
kroE100,100,gls_opt__2-opt,24185.0,24890.8,572.7,0.3448,0.1602,,
kroE100,100,sa_opt__2-opt__exp_medium,37779.0,39515.4,1584.38,0.0282,0.0079,,
lin105,105,gls_naive_first__2-opt,15940.0,16470.6,332.34,9.385,1.0865,,
lin105,105,sa_naive_exp__medium__swap,36106.0,41483.6,4081.18,0.072,0.0205,,
lin105,105,gls_opt__2-opt,16114.0,16394.8,235.62,0.4648,0.1107,,
lin105,105,sa_opt__2-opt__exp_medium,25387.0,28877.0,2559.22,0.0261,0.0066,,
pr107,107,gls_naive_first__2-opt,47492.0,48397.2,1098.91,9.2384,1.8166,,
pr107,107,sa_naive_exp__medium__swap,167987.0,178721.0,11872.07,0.0712,0.0197,,
pr107,107,gls_opt__2-opt,46168.0,47297.8,758.87,0.4447,0.0829,,
pr107,107,sa_opt__2-opt__exp_medium,91947.0,96477.2,6456.95,0.0266,0.0085,,
pr124,124,gls_naive_first__2-opt,65262.0,66255.0,735.34,23.5582,2.3361,,
pr124,124,sa_naive_exp__medium__swap,232893.0,245640.2,15945.81,0.0774,0.0208,,
pr124,124,gls_opt__2-opt,63757.0,65418.0,1180.05,0.8038,0.228,,
pr124,124,sa_opt__2-opt__exp_medium,134650.0,147332.0,8105.18,0.0255,0.007,,
pr136,136,gls_naive_first__2-opt,123220.0,131328.8,7545.26,24.9036,2.8866,,
pr136,136,sa_naive_exp__medium__swap,288622.0,302067.2,9333.42,0.0815,0.0129,,
pr136,136,gls_opt__2-opt,105929.0,107120.8,1420.46,1.0317,0.1778,,
pr136,136,sa_opt__2-opt__exp_medium,213279.0,223423.0,6761.23,0.0292,0.0059,,
pr144,144,gls_naive_first__2-opt,91009.0,131503.2,23396.91,29.1607,4.877,,
pr144,144,sa_naive_exp__medium__swap,286993.0,302595.2,16874.56,0.0903,0.0196,,
pr144,144,gls_opt__2-opt,61397.0,64019.4,1929.92,1.2289,0.3357,,
pr144,144,sa_opt__2-opt__exp_medium,188989.0,200612.2,10555.53,0.0385,0.0021,,
pr152,152,gls_naive_first__2-opt,103671.0,160053.6,41631.16,17.9687,13.3533,,
pr152,152,sa_naive_exp__medium__swap,369416.0,399248.4,20365.61,0.0912,0.016,,
pr152,152,gls_opt__2-opt,79192.0,79982.2,575.87,1.639,0.3429,,
pr152,152,sa_opt__2-opt__exp_medium,213573.0,242831.8,20136.75,0.0277,0.0055,,
pr226,226,gls_naive_first__2-opt,446463.0,528449.2,52660.84,25.4757,18.2107,,
pr226,226,sa_naive_exp__medium__swap,650765.0,675326.2,20163.97,0.1303,0.0223,,
pr226,226,gls_opt__2-opt,85023.0,86848.6,2316.75,4.9956,0.9206,,
pr226,226,sa_opt__2-opt__exp_medium,425125.0,455428.6,20008.47,0.0289,0.0059,,
pr76,76,gls_naive_first__2-opt,112929.0,123299.0,7274.79,2.7487,0.4218,,
pr76,76,sa_naive_exp__medium__swap,204289.0,220965.2,15027.93,0.0565,0.0183,,
pr76,76,gls_opt__2-opt,121123.0,123788.2,2433.17,0.14,0.0363,,
pr76,76,sa_opt__2-opt__exp_medium,152208.0,160949.2,10219.72,0.0279,0.0075,,
rat195,195,gls_naive_first__2-opt,6168.0,7113.6,594.71,29.7252,20.4489,,
rat195,195,sa_naive_exp__medium__swap,9010.0,9392.8,274.8,0.1043,0.0145,,
rat195,195,gls_opt__2-opt,2631.0,2652.6,26.89,3.074,0.9812,,
rat195,195,sa_opt__2-opt__exp_medium,6940.0,7358.0,261.53,0.0275,0.006,,
rat99,99,gls_naive_first__2-opt,1343.0,1383.6,27.89,8.1474,1.757,,
rat99,99,sa_naive_exp__medium__swap,2973.0,3130.4,125.08,0.0652,0.014,,
rat99,99,gls_opt__2-opt,1292.0,1377.6,63.89,0.351,0.0812,,
rat99,99,sa_opt__2-opt__exp_medium,2165.0,2264.8,110.22,0.0301,0.0039,,
rd100,100,gls_naive_first__2-opt,8687.0,8948.6,315.27,7.7427,2.7871,,
rd100,100,sa_naive_exp__medium__swap,18191.0,20378.0,2032.56,0.068,0.0185,,
rd100,100,gls_opt__2-opt,8668.0,8904.0,206.2,0.2799,0.0302,,
rd100,100,sa_opt__2-opt__exp_medium,14228.0,14596.8,396.76,0.0278,0.008,,
st70,70,gls_naive_first__2-opt,723.0,732.2,6.72,2.0196,0.2398,,
st70,70,sa_naive_exp__medium__swap,1339.0,1494.0,98.65,0.0482,0.0101,,
st70,70,gls_opt__2-opt,719.0,728.0,12.9,0.1036,0.0331,,
st70,70,sa_opt__2-opt__exp_medium,937.0,1002.0,42.43,0.0247,0.007,,
ts225,225,gls_naive_first__2-opt,587138.0,637653.6,46095.46,30.8977,24.8184,,
ts225,225,sa_naive_exp__medium__swap,691515.0,703738.0,12361.76,0.167,0.0328,,
ts225,225,gls_opt__2-opt,135569.0,141241.6,3820.03,5.8009,1.3756,,
ts225,225,sa_opt__2-opt__exp_medium,518702.0,547493.4,28994.78,0.0302,0.008,,
tsp225,225,gls_naive_first__2-opt,15329.0,17456.2,1269.11,17.3152,21.1751,,
tsp225,225,sa_naive_exp__medium__swap,17945.0,18399.8,440.07,0.1225,0.0189,,
tsp225,225,gls_opt__2-opt,4232.0,4358.4,98.05,6.283,0.9994,,
tsp225,225,sa_opt__2-opt__exp_medium,14193.0,14704.6,482.18,0.0307,0.0103,,
u159,159,gls_naive_first__2-opt,72421.0,87752.6,11973.97,32.5743,11.7712,,
u159,159,sa_naive_exp__medium__swap,164514.0,170884.2,6805.84,0.125,0.0527,,
u159,159,gls_opt__2-opt,46010.0,48000.0,1499.98,1.6697,0.4622,,
u159,159,sa_opt__2-opt__exp_medium,120086.0,121942.8,1884.1,0.0272,0.0076,,
